X-NA	按
W-NA	案
X-BA	把
X-BIO	百
W-BIO	白
X-BNA	半
W-BNA	办
X-BNO	帮
X-BAO	报
W-BAO	包
X-BE	被
W-BE	倍
X-BN	本
X-BI	比
W-BI	笔
X-BINA	便
W-BINA	变
X-BIAO	表
W-BIAO	标
X-BIE	别
X-BINE	并
W-BINE	病
X-B	不
W-B	部
X-BDZIO	才
W-BDZIO	采
X-BDZAO	草
X-BDZE	侧
X-BDZNE	层
W-BDZNE	曾
X-BZA	差
W-BZA	查
X-BZNO	长
W-BZNO	厂
X-BZAO	朝
W-BZAO	超
X-BZE	车
X-BZN	陈
X-BZNE	称
W-BZNE	成
X-BZ	吃
W-BZ	尺
X-BZUEO	虫
W-BZUEO	重
X-BZU	出
W-BZU	除
X-BZUNA	穿
W-BZUNA	船
X-BZUNO	闯
X-BDZ	此
W-BDZ	次
X-BDZUEO	从
X-BDZUN	村
W-BDZUN	寸
X-BDZO	错
X-DA	大
W-DA	打
X-DIO	带
W-DIO	代
X-DNA	但
X-DNO	当
W-DNO	党
X-DAO	到
W-DAO	道
X-D	的
W-D	得
X-DNE	等
X-DI	地
W-DI	第
X-DINA	点
W-DINA	电
X-DIAO	调
W-DIAO	掉
X-DIN	定
W-DIN	顶
X-DUEO	动
W-DUEO	东
W-DU	度
X-DUNA	短
W-DUNA	段
X-DUE	对
W-DUE	队
X-DUN	吨
X-DO	多
W-DO	夺
X-XE	而
X-BIU	法
W-BIU	发
X-XBUNA	凡
W-XBUNA	反
X-XBUNO	放
W-XBUNO	防
X-XBUE	非
W-XBUE	飞
X-XBUN	分
W-XBUN	份
X-XBUNE	风
W-XBUNE	封
X-XBUEO	否
X-XBU	副
W-XBU	富
X-GIO	该
W-GIO	改
X-GNA	干
W-GNA	敢
X-GNO	刚
W-GNO	钢
X-GAO	高
W-GAO	搞
X-G	各
W-G	个
X-GE	给
X-GN	根
W-GN	跟
X-GNE	更
X-GUEO	公
W-GUEO	共
X-GEO	够
X-GU	故
W-GU	股
X-GUA	挂
X-GUNA	管
W-GUNA	关
X-GUNO	光
W-GUNO	广
X-GUE	归
X-GO	过
W-GO	国
X-XGIO	还
W-XGIO	海
X-XGNA	汉
W-XGNA	含
X-XGNO	行
X-XGAO	好
W-XGAO	号
X-XG	和
W-XG	合
X-XGE	黑
X-XGN	很
X-XGNE	横
X-XGUEO	红
X-XGEO	后
X-XGU	户
X-XGW	化
W-XGW	话
X-XGIUO	坏
X-XGUNA	换
X-XGUNO	黄
X-XGUE	会
W-XGUE	回
X-XGO	活
W-XGO	或
X-GI	及
W-GI	几
X-GIA	加
W-GIA	假
X-GINA	间
W-GINA	件
X-GINO	将
W-GINO	讲
X-GIAO	较
W-GIAO	教
X-GIE	节
W-GIE	届
X-GIN	斤
W-GIN	进
X-GINE	经
W-GINE	竟
X-GIEO	就
W-GIEO	旧
X-GIU	据
W-GIU	举
X-GIUNA	卷
X-GIUE	绝
X-GIUN	均
W-GIUN	军
X-XBGA	卡
X-XBGIO	开
X-XBGNA	看
X-XBGAO	靠
X-XBG	可
X-XBGN	肯
X-XBGUEO	空
X-XBGEO	口
X-XBGU	苦
W-XBGU	哭
X-XBGI	快
W-XBGI	块
X-XBGUNA	宽
X-XBGUNO	矿
X-XDA	拉
X-XDIO	来
X-XDNA	蓝
X-XDAO	老
X-XD	了
X-XDE	类
X-XDI	里
W-XDI	离
X-XDINA	连
W-XDINA	联
X-XDINO	两
W-XDINO	量
X-XDINE	另
W-XDINE	领
X-XDIEO	流
W-XDIEO	留
X-XDEO	楼
X-XDU	路
X-XDIU	率
X-XDUNA	乱
X-XDO	落
X-XBA	马
X-XBIO	买
W-XBIO	卖
X-XBNA	满
W-XBNA	漫
X-XBNO	忙
X-XBIU	没
W-XBIU	每
X-XBI	米
W-XBI	密
X-XBINA	面
W-XBINA	棉
X-XBIAO	秒
X-XBIN	民
X-XBINE	名
W-XBINE	命
X-XBO	末
X-XBEO	某
X-XB	亩
X-XBDA	那
W-XBDA	拿
X-XBDIO	乃
X-XBDNA	难
W-XBDNA	男
X-XBDE	内
X-XBDNE	能
X-XBDI	你
W-XBDI	泥
X-XBDINA	年
X-XBDIN	您
X-XBDUEO	浓
W-XBDUEO	弄
X-XBDIU	女
X-BGA	怕
X-BGIO	派
W-BGIO	排
X-BGNO	旁
X-BGAO	跑
X-BGE	配
X-BGN	喷
X-BGNE	碰
X-BGI	批
W-BGI	皮
X-BGINA	片
W-BGINA	篇
X-BGO	破
X-XGI	其
W-XGI	期
X-XGINA	前
W-XGINA	千
X-XGINO	强
W-XGINO	抢
X-XGIE	且
X-XGIN	亲
X-XGINE	请
W-XGINE	轻
X-XGIEO	求
X-XGIU	去
W-XGIU	区
X-XGIUNA	全
W-XGIUNA	权
X-XGIUE	却
W-XGIUE	确
X-XBZNA	然
W-XBZNA	染
X-XBZNO	让
X-XBZE	热
X-XBZN	人
X-XBZNE	仍
X-XBZ	日
X-XBZU	如
W-XBZU	入
X-XBZO	若
W-XBZO	弱
X-XDZIO	塞
X-XDZNA	散
X-XDZE	色
X-XZA	杀
X-XZNA	山
W-XZNA	善
X-XZNO	上
W-XZNO	伤
X-XZAO	少
W-XZAO	稍
X-XZE	社
W-XZE	设
X-XZN	深
W-XZN	身
X-XZNE	生
W-XZNE	升
X-XZ	使
W-XZ	时
X-XZEO	受
W-XZEO	收
X-XZU	数
W-XZU	书
X-XZUNO	双
X-XZUE	水
X-XZUN	顺
X-XZO	说
X-XDZ	似
W-XDZ	死
X-XDZUEO	送
W-XDZUEO	宋
X-XDZU	素
W-XDZU	速
X-XDZUNA	算
X-XDZUE	虽
W-XDZUE	岁
X-XDZO	所
X-BDA	他
W-BDA	她
X-BDIO	太
W-BDIO	台
X-BDNA	谈
X-BDNO	唐
W-BDNO	糖
X-BDAO	套
X-BD	特
X-BDI	题
W-BDI	提
X-BDINA	天
W-BDINA	田
X-BDIAO	条
W-BDIAO	跳
X-BDIE	铁
X-BDIN	听
W-BDIN	停
X-BDUEO	同
W-BDUEO	通
X-BDEO	头
W-BDEO	投
X-BDU	图
W-BDU	土
X-BDUNA	团
X-BDUE	推
W-BDUE	退
X-BDO	脱
X-U	无
X-UA	挖
X-IUO	外
X-UNA	完
W-UNA	万
X-UNO	往
W-UNO	望
X-UE	为
W-UE	位
X-UN	问
W-UN	文
X-O	我
X-XI	系
X-XIA	下
X-XINA	现
X-XINO	向
W-XINO	想
X-XIAO	小
W-XIAO	笑
X-XIE	写
X-XIN	新
W-XIN	信
X-XINE	星
X-XIEO	修
X-XIU	需
W-XIU	须
X-XIUN	选
X-I	以
W-I	已
X-IA	压
X-INA	言
W-INA	沿
X-INO	样
X-IAO	要
X-IE	也
W-IE	页
X-IN	因
W-IN	引
X-INE	应
X-IUEO	用
X-IEO	有
W-IEO	由
X-IU	于
W-IU	与
X-IUNA	原
W-IUNA	元
X-IUE	月
X-IUN	运
W-IUN	云
X-DZIO	在
W-DZIO	再
X-DZAO	早
X-DZE	则
X-ZNA	占
W-ZNA	站
X-ZNO	长
X-ZAO	着
W-ZAO	找
X-ZE	着
W-ZE	者
X-ZN	真
X-ZNE	正
X-Z	之
W-Z	只
X-ZUEO	中
W-ZUEO	种
X-ZEO	周
X-ZU	住
W-ZU	主
X-ZUA	抓
X-ZUNA	转
W-ZUNA	传
X-ZUNO	装
X-ZUN	准
X-DZ	自
W-DZ	字
X-DZUEO	总
X-DZEO	走
X-DZU	组
X-DZUE	最
X-DZO	作
W-DZO	做
XW-BZNE	乘
XW-BZU	处
XW-GI	即
XW-XZN	神
XW-XZNE	省
XW-UE	唯
XW-XINA	县
XW-IEO	又
XW-IU	於
XW-ZNE	争
-WI	一
W-WI	壹
-XWE	二
W-XWE	贰
-WN	三
W-WN	叁
-ZW	四
W-ZW	肆
-WU	五
