a	A
ai	IO
an	NA
ang	NO
ao	AO
ba	BA
bai	BIO
ban	BNA
bang	BNO
bao	BAO
bei	BE
ben	BN
beng	BNE
bi	BI
bian	BINA
biao	BIAO
bie	BIE
bin	BIN
bing	BINE
bo	BO
bu	B
ca	BDZA
cai	BDZIO
can	BDZNA
cang	BDZNO
cao	BDZAO
ce	BDZE
cen	BDZN
ceng	BDZNE
cha	BZA
chai	BZIO
chan	BZNA
chang	BZNO
chao	BZAO
che	BZE
chen	BZN
cheng	BZNE
chi	BZ
chong	BZUEO
chou	BZEO
chu	BZU
chua	BZUA
chuai	BZIUO
chuan	BZUNA
chuang	BZUNO
chui	BZUE
chun	BZUN
chuo	BZO
ci	BDZ
cong	BDZUEO
cou	BDZEO
cu	BDZU
cuan	BDZUNA
cui	BDZUE
cun	BDZUN
cuo	BDZO
da	DA
dai	DIO
dan	DNA
dang	DNO
dao	DAO
de	D
dei	DE
den	DN
deng	DNE
di	DI
dia	DIA
dian	DINA
diao	DIAO
die	DIE
ding	DINE
ding	DIN
diu	DIEO
dong	DUEO
dou	DEO
du	DU
duan	DUNA
dui	DUE
dun	DUN
duo	DO
e	E
ei	E
en	N
eng	NE
er	XE
fa	XBUA
fa	BIU
fan	XBUNA
fang	XBUNO
fei	XBUE
fen	XBUN
feng	XBUNE
fo	XBUO
fou	XBUEO
fu	XBU
ga	GA
gai	GIO
gan	GNA
gang	GNO
gao	GAO
ge	G
gei	GE
gen	GN
geng	GNE
gong	GUEO
gou	GEO
gu	GU
gua	GUA
guai	GIUO
guan	GUNA
guang	GUNO
gui	GUE
gun	GUN
guo	GO
ha	XGA
hai	XGIO
han	XGNA
hang	XGNO
hao	XGAO
he	XG
hei	XGE
hen	XGN
heng	XGNE
hong	XGUEO
hou	XGEO
hu	XGU
hua	XGUA
hua	XGW
huai	XGIUO
huan	XGUNA
huang	XGUNO
hui	XGUE
hun	XGUN
huo	XGO
ji	GI
jia	GIA
jian	GINA
jiang	GINO
jiao	GIAO
jie	GIE
jin	GIN
jing	GINE
jiong	GIUEO
jiu	GIEO
ju	GIU
juan	GIUNA
jue	GIUE
jun	GIUN
ka	XBGA
kai	XBGIO
kan	XBGNA
kang	XBGNO
kao	XBGAO
ke	XBG
kei	XBGE
ken	XBGN
keng	XBGNE
kong	XBGUEO
kou	XBGEO
ku	XBGU
kua	XBGUA
kuai	XBGIUO
kuai	XBGI
kuan	XBGUNA
kuang	XBGUNO
kui	XBGUE
kun	XBGUN
kuo	XBGO
la	XDA
lai	XDIO
lan	XDNA
lang	XDNO
lao	XDAO
le	XD
lei	XDE
leng	XDNE
leng	XDN
li	XDI
lia	XDIA
lian	XDINA
liang	XDINO
liao	XDIAO
lie	XDIE
lin	XDIN
ling	XDINE
liu	XDIEO
long	XDUEO
lou	XDEO
lu	XDU
luan	XDUNA
lue	XDUE
lve	XDIUE
lun	XDUN
luo	XDO
lo	XDO
